id,Timestamp,PosX,PosY,PosZ,RotX,RotY,RotZ,RPosX,RPosY,RPosZ,RRotX,RRotY,RRotZ,Vitesse,Acceleration,Courbure,Stop,StopT1,StopT2,StopDuration,ClosestTarget,DistanceFromTarget,TargetTriggered,ΔX,ΔZ,Theoretical_Distance,ΔTimestamp,Theoretical_Speed,alpha,flag,reached,distance_tile,pass_count,pass_order
0,0,0.1349016,0.9489459,1.729517,298.538,135.3689,239.2716,0.9932032,0.03806472,-1.131388,345.7089,275.0648,351.3024,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,139.6959,0,0.0,0.0,0,0
1,3,0.1349323,0.9489168,1.729522,298.5672,135.375,239.2735,0.9930519,0.03813982,-1.131381,345.7104,275.0637,351.3091,0.0103681671,3.456055698,0,0,0,0,0,0,0.0,0,3.069999999999462e-05,5.000000000032756e-06,3.1104501281968774e-05,3,0.010368167093989591,139.68869999999998,0,0.0,0.0,0,0
2,13,0.1349264,0.9488652,1.729546,298.5854,135.4144,239.2521,0.9931517,0.03797531,-1.131334,345.7123,275.06,351.2995,0.0024714571,0.247145706,0,0,0,0,0,0,0.0,0,-5.900000000003125e-06,2.4000000000024002e-05,2.4714570601189678e-05,10,0.002471457060118968,139.6456,0,0.0,0.0,0,0
3,24,0.1348099,0.9485989,1.729488,298.6021,135.4365,239.2537,0.9931192,0.03791356,-1.131422,345.7076,275.0558,351.3136,0.0118308499,1.0755318049,0,0,0,0,0,0,0.0,0,-0.00011649999999999161,-5.8000000000113516e-05,0.00013013934839244899,11,0.011830849853858998,139.61929999999998,0,0.0,0.0,0,0
4,36,0.1346853,0.9486378,1.729534,298.5916,135.4789,239.2254,0.9929838,0.0379324,-1.131383,345.7205,275.0664,351.3066,0.0110683357,0.9223613098,0,0,0,0,0,0,0.0,0,-0.0001246000000000025,4.599999999999049e-05,0.00013282002861014503,12,0.011068335717512087,139.58749999999998,0,0.0,0.0,0,0
5,47,0.1345417,0.9485954,1.729551,298.5862,135.4749,239.2349,0.9929551,0.03784585,-1.131276,345.7203,275.0602,351.3041,0.013145706,1.1950641837,0,0,0,0,0,0,0.0,0,-0.0001436000000000215,1.700000000015578e-05,0.00014460276622530935,11,0.013145706020482668,139.58530000000002,0,0.0,0.0,0,0
6,58,0.134375,0.9483554,1.729451,298.5777,135.5165,239.1935,0.9928739,0.03771782,-1.131381,345.7247,275.0652,351.3041,0.0176721497,1.6065590662,0,0,0,0,0,0,0.0,0,-0.00016669999999999185,-9.999999999998899e-05,0.00019439364701552127,11,0.017672149728683754,139.5487,0,0.0,0.0,0,0
7,69,0.1343434,0.9483265,1.729409,298.5727,135.5071,239.1915,0.9930493,0.03766632,-1.131428,345.7193,275.0624,351.3124,0.0047781874,0.4343806685,0,0,0,0,0,0,0.0,0,-3.1599999999992745e-05,-4.2000000000097515e-05,5.25600608828389e-05,11,0.004778187352985354,139.55530000000002,0,0.0,0.0,0,0
8,80,0.1341288,0.948229,1.729428,298.5668,135.5466,239.1698,0.9929785,0.03764796,-1.131291,345.7206,275.0694,351.2983,0.0195854053,1.7804913872,0,0,0,0,0,0,0.0,0,-0.00021460000000000923,1.8999999999991246e-05,0.00021543945785302104,11,0.01958540525936555,139.52279999999996,0,0.0,0.0,0,0
9,92,0.1341751,0.9484189,1.729494,298.5797,135.541,239.1783,0.9929692,0.03772688,-1.131176,345.7245,275.0711,351.2934,0.0067183879,0.5598656592,0,0,0,0,0,0,0.0,0,4.629999999999912e-05,6.600000000012152e-05,8.062065492177522e-05,12,0.006718387910147935,139.5301,0,0.0,0.0,0,0
